,GradientBoostingClassifier,MLPClassifier,GaussianNB,DecisionTreeClassifier,RandomForestClassifier,KNeighborsClassifier,LogisticRegression,VotingClassifier,VotingClassifierFitted
split0_test_score,0.5176663927691044,0.5640766902119073,0.6261884183232498,0.5211702707614029,0.535693215339233,0.45305804440981695,0.5500378119485757,0.5979930370673766,0.5368085953044169
split1_test_score,0.5133394664213432,0.6784103114930182,0.7575580261361421,0.37694989906404847,0.3972303206997085,0.37681159420289856,0.5809321214465287,0.5377643504531722,0.4722627737226277
split2_test_score,0.4483052290921478,0.6104532462229482,0.6956359567325624,0.35763016157989225,0.3663188197193235,0.4055459272097054,0.5969906466043108,0.4515091980710842,0.4738292011019284
split3_test_score,0.4748810153358012,0.5855956921696207,0.5503718728870858,0.47249070631970264,0.505975288636824,0.5247311827956989,0.5876923076923077,0.5123621148725751,0.5202635256538231
split4_test_score,0.6621538461538462,0.7555476020042949,0.7567567567567567,0.6975379096690036,0.7704862291737504,0.7812877610909718,0.757462019660411,0.7127071823204418,0.7528298699104579
split5_test_score,0.6634071810542399,0.8114851485148515,0.7598078462770216,0.6971521562245729,0.7730460064990594,0.798943661971831,0.8105263157894737,0.7504892367906066,0.7656009574286203
split6_test_score,0.6983922829581996,0.7525436046511628,0.7270576305560249,0.6846526655896609,0.7558216899534265,0.7813532788311011,0.7538738738738738,0.7326503635161931,0.747245409015025
split7_test_score,0.6834123222748815,0.7666117517847336,0.7409200968523003,0.6571734803246058,0.7359069617186238,0.7687841530054644,0.780223880597015,0.7252365930599368,0.73030402092187
split8_test_score,0.696882031501125,0.7472212262459663,0.7657833896496532,0.6581972171808833,0.7235256816740648,0.7339242546333602,0.7527423125337169,0.7178048019956345,0.7237179487179488
split9_test_score,0.6538636019960684,0.7540578687367678,0.7820168368260793,0.6382478318388947,0.6955596107055962,0.7386975681410152,0.7476307476307477,0.7014607425441266,0.7077881619937694
